GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
90,7781,32,97,24.5892,325976663736
90,7781,30,98,24.5912,325942977882
90,7781,16,98,24.5934,326026518800
90,7781,84,98,24.595,326081763601
90,7781,05,99,24.5973,326173389125
90,7781,10,98,24.5995,326114775738
90,7781,27,97,24.6023,326022476498
90,7781,06,98,24.6042,326102648831
90,7781,97,98,24.6066,326194274354
90,7781,85,99,24.6086,326184842315
90,7781,05,98,24.6105,326093890509
90,7781,30,98,24.6127,326250192872
90,7781,24,98,24.6154,326114775738
90,7781,27,98,24.6178,326076373865
90,7781,03,98,24.6201,326229981360
90,7781,86,98,24.622,326172041691
90,7781,03,98,24.6239,326097259094
90,7781,13,98,24.6261,326205053828
90,7781,09,98,24.629,325959820809
90,7781,31,98,24.6315,326046730313
90,7781,99,98,24.6333,326067615543
90,7781,84,98,24.6354,325988116927
90,7781,15,99,24.6374,326122186626
90,7781,22,98,24.6399,326019781630
90,7781,26,97,24.6425,326056162352
90,7781,08,98,24.6445,326115449455
90,7781,96,98,24.6465,326074352713
90,7781,95,99,24.6488,326090521923
90,7781,09,98,24.6508,326115449455
90,7781,36,97,24.653,326044709162
91,7781,14,99,24.6555,326050098898
90,7781,15,98,24.6576,326040666859
90,7781,86,97,24.6597,326182821164
90,7781,99,97,24.6616,325991485512
90,7781,72,98,24.6641,326146440441
90,7781,31,99,24.6671,326151830178
90,7781,01,98,24.6691,326105343699
90,7781,84,97,24.6714,326064920674
90,7781,95,98,24.6742,326069636694
90,7781,81,98,24.6759,326139703271
90,7781,93,99,24.6787,326045382879
90,7781,07,98,24.6807,326106017416
90,7781,09,98,24.6834,326120165475
90,7781,09,98,24.6851,326180800013
90,7781,92,98,24.687,326120839192
90,7781,81,99,24.6885,326066268108
90,7781,11,98,24.6907,325975316302
90,7781,21,98,24.6932,326159241066
90,7781,21,99,24.6951,325970600282
90,7781,18,98,24.6971,326089848206
90,7781,85,99,24.699,326037298274
90,7781,03,98,24.701,326101301397
90,7781,26,98,24.7028,326017760478
90,7781,29,99,24.7056,326118144324
90,7781,31,98,24.708,326072331562
90,7781,27,98,24.71,326031908537
90,7781,89,98,24.7121,326140376988
90,7781,06,98,24.714,326089848206
90,7781,28,99,24.7164,326070310411
90,7781,33,98,24.7189,326044709162
90,7781,23,98,24.7207,326009002156
90,7781,04,97,24.7227,326114775738
90,7781,83,98,24.7246,326130271231
90,7781,31,99,24.7273,325938935579
90,7781,04,98,24.7297,325996201532
90,7781,01,98,24.732,326102648831
91,7781,07,97,24.7339,325958473375
90,7781,99,98,24.7362,326064246957
91,7781,79,97,24.7384,326088500772
90,7781,09,99,24.7402,326148461593
90,7781,20,97,24.7427,326209096130
90,7781,14,98,24.7446,325967231697
90,7781,12,98,24.7464,326057509786
90,7781,07,97,24.7485,325891101666
90,7781,86,98,24.7506,326079068733
90,7781,91,98,24.7524,326104669982
90,7781,07,99,24.7542,325915355481
90,7781,16,98,24.7562,325986095775
90,7781,13,97,24.7589,326120839192
90,7781,04,98,24.7607,325925461238
90,7781,89,98,24.7625,326075700148
90,7781,82,99,24.7642,325947693902
90,7781,07,98,24.7666,326029213669
90,7781,09,98,24.7687,325997548966
90,7781,18,99,24.7711,326048077747
90,7781,12,98,24.7729,326047404030
90,7781,02,97,24.7745,326184168598
90,7781,88,98,24.7762,326067615543
90,7781,23,98,24.7784,326094564226
90,7781,11,99,24.7804,326056836069
90,7781,13,98,24.7828,326056836069
90,7781,14,97,24.7847,326058183503
90,7781,11,98,24.7862,326176083993
90,7781,88,98,24.7879,326145766724
90,7781,78,99,24.79,326217854452
90,7781,06,98,24.7923,326161262217
90,7781,28,99,24.7949,326174736559
90,7781,17,97,24.797,326068289260
90,7781,04,98,24.7982,326109386002
90,7781,93,98,24.8002,326056836069
90,7781,85,98,24.802,326139029553
90,7781,25,99,24.8043,326069636694
90,7781,07,98,24.8071,325998896400
90,7781,07,97,24.8088,325976663736
90,7781,05,98,24.8105,325996875249
90,7781,84,98,24.8124,326058183503
90,7781,03,99,24.8143,326127576363
90,7781,14,98,24.8159,326035950840
90,7781,01,98,24.8183,326124881495
90,7781,11,99,24.8197,326101975114
90,7781,20,98,24.8216,325967905414
90,7781,00,98,24.8233,326122186626
90,7781,84,98,24.8248,326178778861
90,7781,75,98,24.8276,325975316302
90,7781,07,99,24.8291,326106691133
90,7781,17,98,24.8317,326075700148
90,7781,13,97,24.8334,326141724422
90,7781,16,98,24.8351,326151830178
90,7781,01,98,24.8369,326146440441
90,7781,82,99,24.8391,326118144324
90,7781,03,98,24.8409,326048077747
90,7781,26,98,24.8433,326019107912
90,7781,11,99,24.8454,326038645708
90,7781,04,98,24.847,326042014293
90,7781,11,98,24.8488,326159241066
90,7781,83,98,24.851,326101975114
90,7781,03,99,24.8532,326081763601
90,7781,10,98,24.8551,326009002156
90,7781,16,98,24.8575,326004959854
